,Re_l [-],Re_lo [-],Re_g [-],Re_go [-],x [-],xv [-],f_l [-],f_lo [-],f_g [-],f_go [-],1/Re_l [-],1/Re_lo [-],1/Re_g [-],1/Re_go [-],G*_l/G*_g [-],(1-x)/x [-],(1-xv)/xv [-],X [-],Y [-]
Test bi smooth 7 @ Q_l_10 Q_g_4000,469.4459311949278,918.9822807374088,20666.79322724769,42248.90110629361,0.4891675921996717,0.998540626078029,0.0340827322952264,0.01741056420278451,0.006421270820873634,0.005425878362580598,0.00213017076845165,0.001088160262674032,4.838680045831064e-05,2.366925467443779e-05,1.044289147413129,1.044289147413129,0.001461506806891802,0.09000518145035716,14.9223961581624
Test bi smooth 92 @ Q_l_20 Q_g_3000,938.8925722757858,1315.201011671081,17254.35888688777,60304.1225975078,0.2861223767743012,0.9964909888668918,0.01704135326283126,0.01216544076381949,0.006713823897370809,0.005011903716929856,0.001065084578926954,0.0007603400477387182,5.795636955018578e-05,1.658261420490889e-05,2.495008014660871,2.495008014660871,0.00352136765140073,0.1493340091046609,17.08510777671461
Test bi smooth 65 @ Q_l_90 Q_g_1000,4225.018923144366,4337.403988601644,5166.643056562604,199402.1012492493,0.02591067508413256,0.9490374511092502,0.009820179802976354,0.009744968941328546,0.009264041733835621,0.003911811561446113,0.0002366853304542775,0.0002305526537596962,0.0001935492715584083,5.014992288120458e-06,37.59413144400818,37.59413144400818,0.0536991968348393,1.462862109771358,16.76389245429231
Test bi smooth 42 @ Q_l_60 Q_g_1500,2816.676671407327,2985.205344520668,7744.401451289203,137179.2002833494,0.05645463332118,0.977021466051026,0.01109424630286282,0.01089778812915842,0.008273382975820039,0.00421471662032576,0.0003550283247456866,0.000334985330853536,0.000129125537498257,7.289734871864378e-06,16.71333797016854,16.71333797016855,0.02351896529136638,0.7260190910091041,16.57820485587272
Test bi smooth 63 @ Q_l_80 Q_g_4000,3755.639302860009,4205.232573865186,20663.55201924103,193274.7833364915,0.106912819471466,0.9850189182317507,0.01016790412313072,0.009833714935201935,0.006421517065180562,0.003935857216999331,0.0002662662517240344,0.0002377989760221187,4.839439023207831e-05,5.173980706313866e-06,8.353415286806557,8.353415286806557,0.0152089279616502,0.4485163079176041,14.82666909977036
Test bi smooth 84 @ Q_l_10 Q_g_3000,469.4450021066756,845.746788083539,17254.74815022561,38780.43732734487,0.444934336469149,0.9983169653598153,0.0340827997490624,0.01891819185770244,0.006713786138481347,0.005532894018475351,0.0021301749843164,0.001182386991106403,5.795506206718669e-05,2.578619708589206e-05,1.247522652298916,1.247522652298916,0.001685872021195301,0.1033285658394871,14.71120615518132
Test bi smooth 15 @ Q_l_20 Q_g_4000,938.8952656561628,1388.442422193539,20666.18211722562,63828.24035046001,0.3237780331050074,0.9969199478126367,0.01704130437681793,0.01152370436414807,0.006421317244744843,0.00495007785037644,0.001065081523551121,0.0007202315227592542,4.838823128179456e-05,1.566704634984964e-05,2.088535656388032,2.088535656388032,0.003089568218713347,0.1308606867012839,17.04048742298831
Test bi smooth 25 @ Q_l_40 Q_g_1000,1877.777416185445,1990.158997083984,5166.83959881906,91499.26733423662,0.05646864449684796,0.9783307459886684,0.01261486974814497,0.008039558660108807,0.009263940866167613,0.004582560840728431,0.0005325444812471013,0.0005024724162568004,0.0001935419091060155,1.092904926054885e-05,16.70894288166983,16.70894288166983,0.02214921088821894,0.7098998992585501,20.73640057491289
Test bi smooth 39 @ Q_l_50 Q_g_4000,2347.260278916292,2796.707597546404,20649.59309129349,128493.0880457434,0.1607058667929458,0.9912730033585323,0.01174406265623067,0.0111186428397651,0.006422578163652602,0.004271167468303167,0.0004260285955427537,0.0003575633008174741,4.842710437822772e-05,7.782519785375548e-06,5.222548186672018,5.222548186672018,0.00880382761550023,0.2899555818126753,15.09568666943449
Test bi smooth 34 @ Q_l_50 Q_g_1500,2347.227411013822,2515.754590534191,7744.486262133234,115608.8111172352,0.0669887198673793,0.9811728913610906,0.01174411460556498,0.01149079335246083,0.008273358258427605,0.004364695684463038,0.0004260345611625576,0.000397495051291017,0.0001291241234282399,8.649859732455271e-06,13.92788639609395,13.92788639609395,0.01918837016867867,0.615929317941858,16.60449001097104
Test bi smooth 74 @ Q_l_100 Q_g_1500,4694.486049569469,4863.068546701349,7749.687140354829,223553.8114585732,0.03466586899052235,0.9592666788782541,0.009523200572840836,0.009426608025886104,0.008271843225382483,0.003825527457064858,0.0002130158635984678,0.0002056314835780603,0.0001290374671762832,4.473195932001859e-06,27.84681760821862,27.84681760821862,0.04246297929307682,1.166764842796384,16.31362561948129
Test bi smooth 22 @ Q_l_30 Q_g_3500,1408.344632362906,1801.70160397521,18082.72745916175,82824.71500093093,0.2183252602675241,0.994635548852912,0.01387713624767348,0.008880493842431052,0.006635993344966578,0.004680147382694614,0.0007100534748531048,0.0005550308651519407,5.530139201945128e-05,1.207369080580308e-05,3.580322033165808,3.580322033165808,0.005393383690412665,0.2009503003105429,18.70430574346591
Test bi smooth 72 @ Q_l_100 Q_g_500,4694.45606123266,4750.647846708976,2583.363726663045,218406.5023260534,0.01182823633522782,0.8963401657201627,0.00952321818906539,0.009490485106179473,0.01139594173229622,0.003842881755703963,0.0002130172243506785,0.0002104976062775844,0.0003870922199916887,4.578618261589694e-06,83.54345784601192,83.54345784601192,0.1156478737026718,2.841461701425634,17.10297661855364
Test bi smooth 60 @ Q_l_80 Q_g_2500,3755.597698697516,4036.572916753755,12915.89588877405,185553.5726634835,0.06960736839165084,0.9793590533577187,0.01016793764819034,0.009952872958331575,0.007224824607181878,0.003967591924096875,0.0002662692013968406,0.0002477349030038601,7.742397496941406e-05,5.389279148041957e-06,13.3662951653829,13.3662951653829,0.02107597471174044,0.6296542528390099,15.900140346653
Test bi smooth 111 @ Q_l_50 Q_g_500,2347.219332194528,2410.042112311876,2888.375529017469,110805.4538194646,0.02606708812116327,0.9535856926752073,0.01174412737469665,0.01164671017296431,0.01100865685953941,0.004403095225223174,0.0004260360275173143,0.0004149305088452301,0.0003462153691421722,9.02482653633007e-06,37.36255109707183,37.36255109707183,0.04867345187885643,1.392860246874518,17.03529239825589
Test bi smooth 31 @ Q_l_40 Q_g_4000,1877.803607947199,2327.371496766467,20665.00417853863,106980.8206987524,0.1931655042797743,0.9932270341140825,0.01261481252324851,0.0117756913517622,0.006421406733823459,0.004435251798357654,0.0005325370532721429,0.0004296692648291644,4.839098948929983e-05,9.34746988729786e-06,4.176907769989999,4.176907769989999,0.006819151768214481,0.2365472653871829,15.18896558377024
Test bi smooth 67 @ Q_l_90 Q_g_2000,4225.044903694336,4449.824194907731,10332.76692254094,204551.7449764288,0.05051419592500481,0.9714466084440345,0.009820162089658403,0.009672443968302209,0.007657420299041628,0.003892325343701428,0.0002366838750342299,0.0002247279793984615,9.677949841474684e-05,4.888738544446215e-06,18.79641527867999,18.79641527867999,0.02939265144144096,0.8417342202290964,16.04185510150552
Test bi smooth 109 @ Q_l_40 Q_g_3500,1877.80247622881,2316.855138800739,20128.54727933509,106217.1629424546,0.1895037178712838,0.9931450659511585,0.01261481499585186,0.01179257365441731,0.006462893384544748,0.004441851741326076,0.0005325373742228202,0.0004316195619021846,4.968068416078128e-05,9.414674354857056e-06,4.276941324598327,4.276941324598327,0.006902248507146727,0.2400429132509466,15.27738703054027
Test bi smooth 58 @ Q_l_80 Q_g_1500,3755.574203736376,3924.152346041272,7749.933823303915,180402.5158812029,0.04295912274531323,0.9689356717581016,0.01016795658090361,0.01003629394203804,0.008271771400913858,0.003989723528497816,0.000266270867183269,0.000254832104316442,0.0001290333598711537,5.543159944945065e-06,22.27794275336077,22.27794275336077,0.03206025863980549,0.9369979317629374,16.62029568024169
Test bi smooth 93 @ Q_l_20 Q_g_3500,938.8946155022888,1377.927299828531,20129.72349754261,63178.20184123794,0.3186181770118607,0.9968893489931543,0.01704131617736495,0.0116116430830502,0.006462800791693975,0.004961139174247065,0.001065082261085309,0.0007257276926906375,4.967778122347669e-05,1.582824409141818e-05,2.13855288916167,2.138552889161671,0.00312035734957689,0.1326488064490195,17.11203647532411
Test bi smooth 17 @ Q_l_30 Q_g_1000,1408.331974987454,1520.712979641967,5166.872021704464,69916.88116430577,0.07390020744149375,0.983865485359553,0.01387717839297493,0.01052138057226749,0.009263924226901617,0.004853176542708369,0.0007100598564545895,0.0006575862857667181,0.0001935406946019377,1.430269747945399e-05,12.53176174494087,12.53176174494087,0.01639910626049726,0.5548418910407381,18.77468480640302
Test bi smooth 108 @ Q_l_40 Q_g_3000,1877.795847583466,2254.118135532906,17253.54561895599,103346.3372415459,0.1669487867637746,0.9923919590141258,0.01261482947830636,0.007098119547411107,0.006713902788815457,0.004467226477988342,0.0005325392540871253,0.0004436324717131942,5.795910139776301e-05,9.676201660275128e-06,4.989860839270171,4.989860839270171,0.007666367020377988,0.2680971443749235,20.2393585462301
Test bi smooth 12 @ Q_l_20 Q_g_2500,938.8904797138224,1219.847952108428,12916.90069574853,56081.99250584976,0.2303217150211131,0.9954522192260361,0.01704139124392534,0.01311638878627868,0.007224679960424999,0.005092556120680658,0.001065086952745334,0.0008197742991424173,7.741795215079265e-05,1.783103551279304e-05,3.341753012338989,3.341753012338989,0.004568557572255746,0.1897666723631135,16.85226944288848
Test bi smooth 90 @ Q_l_20 Q_g_2000,938.8888333089186,1189.75466709106,11503.28361203728,54555.39783141144,0.2108550953580256,0.9950691457686998,0.01704142112715445,0.01344815065035203,0.007444877303253107,0.005123713868381853,0.001065088820447153,0.0008405094156470018,8.69317000020393e-05,1.832999189356527e-05,3.742593477772164,3.742593477772164,0.00495528803427134,0.206036855018287,16.96340488398457
Test bi smooth 66 @ Q_l_90 Q_g_1500,4225.02961197929,4393.61003808775,7749.804562776908,201978.4853214705,0.03836945578853243,0.9641393814899244,0.00982017251540096,0.009708380965649624,0.008271809036149623,0.00390198277103614,0.0002366847316678408,0.000227603267320291,0.0001290355120441489,4.951022374528616e-06,25.06239727535756,25.06239727535756,0.0371944339154145,1.051985104261365,16.45665622636122
Test bi smooth 46 @ Q_l_60 Q_g_3500,2816.711866504585,3209.977840003453,18068.41868005383,147480.9098047843,0.1225136100934719,0.9880957804872913,0.01109420352385485,0.01065920131098828,0.00663729645641233,0.004153480248623815,0.0003550238886311634,0.0003115286303655368,5.534518641102359e-05,6.780538588510661e-06,7.16235844521314,7.162358445213141,0.012047637230915,0.3797794168229782,15.22021640917243
Test bi smooth 6 @ Q_l_10 Q_g_3500,469.4453312107968,862.7863006662527,18083.63232417118,39666.1203565453,0.455896169366289,0.9983659375506224,0.03408277585535398,0.01854456890152826,0.006635910985235094,0.005504390057969119,0.002130173490959624,0.001159035556345516,5.529862485997168e-05,2.521043124488453e-05,1.193481909247085,1.193481909247085,0.001636736979815807,0.100164671476908,14.71176241441952
Test bi smooth 116 @ Q_l_50 Q_g_3000,2347.250522801525,2724.220420305051,17328.37411303147,125225.6769626124,0.1383771645986394,0.9901650278484536,0.01174407807613955,0.01120934827869252,0.006706665084233311,0.004293697181312715,0.0004260303662884971,0.0003670774921685752,5.770881869684297e-05,7.985582703606077e-06,6.226625888024829,6.226625888024828,0.00993265958192541,0.3290904787466616,15.49598314306468
Test bi smooth 18 @ Q_l_30 Q_g_1500,1408.333671348651,1576.906526983571,7750.232134611969,72499.16715639812,0.1069009816056625,0.9889689366532096,0.01387717274456354,0.01014644795123401,0.008271684548520425,0.004815366274933872,0.0007100590011757498,0.0006341529969521258,0.0001290283932959986,1.379326189834374e-05,8.354451053488084,8.354451053488082,0.01115410498546176,0.3953937852136006,18.85381507246331
Test bi smooth 70 @ Q_l_90 Q_g_3500,4225.098825301735,4618.495769768188,18080.44527663725,212265.1464386127,0.08517858715851935,0.9805726763251783,0.009820125326857497,0.00956835652278622,0.006636201091319773,0.003864286901442438,0.0002366808544244134,0.0002165207136370707,5.530837237134618e-05,4.711089016628555e-06,10.74003976068512,10.74003976068512,0.01981222212679643,0.5611361979474929,14.7962737342523
Test bi smooth 68 @ Q_l_90 Q_g_2500,4225.060487494292,4506.041460514407,12915.56818007069,207124.6500428799,0.06235649970873505,0.9758625094664796,0.009820151464830179,0.009637141235663307,0.007224871785743821,0.003882823980850813,0.0002366830020445597,0.0002219242784965056,7.74259394598718e-05,4.828010571378034e-06,15.03682061486715,15.03682061486716,0.0247345197703279,0.7110068285510607,15.65042038872573
Test bi smooth 30 @ Q_l_40 Q_g_3500,1877.798375527465,2271.163023638473,18082.29160982825,104401.43079482,0.1731996532247279,0.9925552104649493,0.01261482395517301,0.007044848755228283,0.006636033017446422,0.004457795246664235,0.0005325385371680836,0.0004403030472017677,5.530272498517118e-05,9.578412789814143e-06,4.773683615304311,4.773683615304311,0.007500630147881914,0.2608927553864457,20.06791079825904
Test bi smooth 32 @ Q_l_50 Q_g_500,2347.220170683063,2403.394751597843,2581.560341896218,110450.4648830268,0.02337301472320859,0.9481087056273231,0.01174412604940467,0.011656843694286,0.01139842520871038,0.00440601873432629,0.0004260358753260844,0.0004160781325394726,0.0003873626286284968,9.053832422154638e-06,41.78438241032872,41.78438241032872,0.05473137633341597,1.535016695730043,16.98718795887353
Test bi smooth 83 @ Q_l_10 Q_g_2500,469.444371345101,783.0264677790299,14379.11594294462,35905.20152339552,0.4004744530837771,0.9980249610049855,0.03408284554388229,0.02043353661515718,0.007029159721063901,0.0056317496414584,0.002130177846492643,0.001277096038447324,6.954530472999409e-05,2.7851117876289e-05,1.497038181336389,1.497038181336389,0.001978947493483215,0.1198532435075153,14.43940183691713
Test bi smooth 91 @ Q_l_20 Q_g_2500,938.8904592160033,1252.476263534919,14378.89935753655,57429.99170573649,0.2503726525194725,0.9959386575317434,0.01704139161597232,0.01277469319445823,0.00702918664778451,0.005065959411408132,0.00106508697599827,0.0007984183246536394,6.95463522718003e-05,1.741250469134428e-05,2.99404643413372,2.99404643413372,0.004077904233903258,0.1720472628427818,17.06343129345789
Test bi smooth 35 @ Q_l_50 Q_g_2000,2347.232347593727,2571.938375738225,10325.80433875142,118187.004854722,0.08736835620332477,0.9853436847591855,0.01174410680299086,0.01141171816502985,0.007658782643221138,0.004344929178075827,0.0004260336651482983,0.0003888118041370138,9.684475583632046e-05,8.461167124331663e-06,10.44579162818157,10.44579162818157,0.01487431793343904,0.4881118296091635,16.35189091892436
Test bi smooth 16 @ Q_l_30 Q_g_500,1408.330728523861,1464.520900432901,2583.454588270763,67334.25279364773,0.03836761352632823,0.9687010310070833,0.01387718254335872,0.01092507453821282,0.0113958166710732,0.004892870936015433,0.0007100604849033918,0.0006828171586383012,0.0003870786057320832,1.485128234903855e-05,25.06364868937679,25.06364868937679,0.03231024639292231,0.9930479193237596,18.63896050206401
Test bi smooth 11 @ Q_l_20 Q_g_2000,938.8890733967651,1163.65281598939,10333.64650158452,53499.62904293754,0.1931536103416899,0.9944578310081876,0.01704141676941059,0.01374980559506151,0.007657248284883391,0.005145943179542009,0.001065088548088162,0.0008593628496913446,9.677126074001703e-05,1.869171838925133e-05,4.177226551608296,4.177226551608296,0.005573055808906127,0.2276183103950344,16.74871656632425
Test bi smooth 100 @ Q_l_30 Q_g_3000,1408.343770970903,1784.660688068447,17253.86151621899,81825.41620203466,0.2108618851826868,0.9944625481477917,0.01387713911583536,0.008965289652520409,0.006713872144450636,0.004692245255434993,0.0007100539091464909,0.0005603306032825255,5.795804023696255e-05,1.222114162585994e-05,3.742440764643731,3.742440764643731,0.005568285967653539,0.2075399323336709,18.75533782853647
Test bi smooth 85 @ Q_l_10 Q_g_3500,469.4457209148828,908.4688173448675,20130.28537168293,41655.52266643448,0.4832560986662082,0.9985212598481991,0.0340827475619935,0.0176120519433593,0.006462756563088529,0.005443341545405714,0.002130171722624594,0.001100753246459956,4.967639462313285e-05,2.400642066137818e-05,1.069296182210655,1.069296182210655,0.001480930062546436,0.09138495094240486,14.93858791326465
Test bi smooth 36 @ Q_l_50 Q_g_2500,2347.240252189493,2628.12903172019,12906.89985793798,120763.0944989207,0.1068778496567371,0.9876365233121923,0.01174409430933094,0.01133508358867541,0.007226120315366553,0.004325730057099249,0.0004260322304319745,0.0003804988217589415,7.747793900988408e-05,8.280675517212234e-06,8.356475670232243,8.356475670232243,0.01251824572702602,0.4123257746607299,15.96089291952453
Test bi smooth 4 @ Q_l_10 Q_g_2500,469.4442545533477,750.3978113083252,12917.12125533046,34500.29118818942,0.3744061516719146,0.9977977296516781,0.0340828540232603,0.02132202381041578,0.007224648211882486,0.005683975041652605,0.002130178376453769,0.001332626488150986,7.741663024083895e-05,2.898526260388008e-05,1.670896286117334,1.670896286117334,0.00220713104758283,0.1319011043231275,14.20602439105581
Test bi smooth 118 @ Q_l_50 Q_g_4000,2347.267712771312,2849.918583011354,23103.10913681832,130989.4878385765,0.1763737649336349,0.9918646581016238,0.01174405090680343,0.01105418005415018,0.006249685983060904,0.004254448550260156,0.000426027246299633,0.0003508872169054578,4.328421746518732e-05,7.634200396541282e-06,4.669777477258454,4.669777477258454,0.008202068530142792,0.2682808379311178,14.80283053153594
Test bi smooth 19 @ Q_l_30 Q_g_2000,1408.335572313156,1633.101394215722,10333.52935236586,75081.2603520885,0.1376312718234546,0.9915208776582028,0.0138771664148919,0.009797309620009118,0.007657271193910522,0.004779284786191731,0.0007100580427415642,0.0006123318512505698,9.677235781703668e-05,1.331890268371319e-05,6.265790592146399,6.265790592146399,0.00855163268152592,0.3116203716803294,18.90564320172677
Test bi smooth 102 @ Q_l_30 Q_g_4000,1408.351182703237,1910.1241054296,23004.14548461528,87571.03228333386,0.2626912677035249,0.9955200368057643,0.01387711443720441,0.008376419079011356,0.006256172849376474,0.004625185967571099,0.0007100501723444904,0.0005235261924382098,4.347042582689196e-05,1.14193012680783e-05,2.806750063457025,2.806750063457026,0.004500123582253724,0.1673822132398369,18.55773852608547
Test bi smooth 14 @ Q_l_20 Q_g_3500,938.8935922729374,1332.242705845822,18083.17242585091,61246.2917332297,0.2952533437390094,0.9965744349966039,0.01704133474941086,0.01200982368287153,0.006635952843931984,0.004994917450413677,0.001065083421838179,0.0007506139801794705,5.530003123624723e-05,1.632751913137365e-05,2.386921845951912,2.386921845951912,0.00343733983443771,0.1451544963889706,16.9943166454435
Test bi smooth 117 @ Q_l_50 Q_g_3500,2347.259674548623,2787.06923227259,20215.78978297296,128107.2789818185,0.1578035997926555,0.9911081778216608,0.01174406361145396,0.0111305078925648,0.006456045372064931,0.004273788862045146,0.000426028705235734,0.000358799841934531,4.946628406485828e-05,7.805957693800706e-06,5.336991052890684,5.336991052890684,0.008971596014758297,0.2951270403435425,15.11340857444767
Test bi smooth 79 @ Q_l_10 Q_g_500,469.4427420668073,532.1577525440225,2875.905285817099,24403.01423509953,0.1178504121708295,0.9907609437087629,0.03408296383400685,0.03006627249816568,0.01102332269854769,0.006167809777570792,0.002130185239625428,0.001879142031135355,0.000347716597250831,4.097854430464874e-05,7.485333072492398,7.485333072492399,0.00932521245402762,0.4645659214380303,12.83222270648978
